1, 1, 77 
1, 2, 76 
1, 3, 75 
1, 4, 74 
1, 5, 49 
1, 6, 48 
1, 7, 47 
1, 8, 46 
1, 9, 5 
1, 10, 4 
1, 11, 3 
1, 12, 2 
1, 13, 90 
1, 14, 89 
1, 15, 88 
1, 16, 87 
1, 17, 86 
1, 18, 66 
1, 19, 53 
1, 20, 50 
1, 21, 38 
1, 22, 30 
1, 23, 17 
1, 24, 14 
1, 25, 9 
1, 26, 6 
1, 27, 52 
1, 28, 51 
1, 29, 16 
1, 30, 15 
1, 31, 8 
1, 32, 7 
-1, 33, 54 
1, 33, 62 
-1, 34, 18 
1, 34, 34 
-1, 35, 10 
1, 35, 26 
1, 36, 54 
1, 36, 62 
1, 37, 18 
1, 37, 34 
1, 38, 10 
1, 38, 26 
-1, 39, 57 
1, 39, 65 
-1, 40, 56 
1, 40, 64 
-1, 41, 55 
1, 41, 63 
-1, 42, 21 
1, 42, 37
-1, 43, 20 
1, 43, 36 
-1, 44, 19 
1, 44, 35 
-1, 45, 13 
1, 45, 29 
-1, 46, 12 
1, 46, 28 
-1, 47, 11 
1, 47, 27 
1, 48, 57 
1, 48, 65 
1, 49, 56 
1, 49, 64 
1, 50, 55 
1, 50, 63 
1, 51, 21 
1, 51, 37 
1, 52, 20 
1, 52, 36 
1, 53, 19 
1, 53, 35 
1, 54, 13 
1, 54, 29 
1, 55, 12 
1, 55, 28 
1, 56, 11 
1, 56, 27 
1, 57, 81 
1, 58, 78 
1, 59, 61 
1, 60, 58 
1, 61, 25 
1, 62, 22 
1, 63, 80 
1, 64, 79 
1, 65, 60 
1, 66, 59 
1, 67, 24 
1, 68, 23 
1, 69, 69 
1, 70, 68 
1, 71, 67 
1, 72, 41 
1, 73, 40 
1, 74, 39 
1, 75, 33 
1, 76, 32 
1, 77, 31 
1, 78, 85 
1, 79, 84 
1, 80, 83 
1, 81, 82 
1, 82, 73 
1, 83, 72 
1, 84, 71 
1, 85, 70 
1, 86, 45 
1, 87, 44 
1, 88, 43 
1, 89, 42 
1, 90, 91 
1, 91, 91
999, 90, 1
999, 91, 1
